dracut-config-rescue	108-7.fc44	x86_64	Group	updates
dracut-live	108-7.fc44	x86_64	User	updates
dracut-network	108-7.fc44	x86_64	Group	updates
dragon	26.08.0-1.fc44	x86_64	Group	updates
e2fsprogs	1.47.3-4.fc44	x86_64	Group	<unknown>
ed	1.22.5-2.fc44	x86_64	Group	<unknown>
efibootmgr	18-11.fc44	x86_64	Group	<unknown>
elisa-player	26.08.0-1.fc44	x86_64	Group	updates
emacs-filesystem	1:30.2-2.fc44	x86_64	External User	<unknown>
enet	1.3.18-5.fc44	x86_64	External User	<unknown>
epson-printer-utility	1.2.2-1	x86_64	External User	<unknown>
ethtool	2:7.1-1.fc44	x86_64	Group	updates
evtest	1.36-2.fc44	x86_64	User	fedora
execstack	0.5.0-32.fc44	x86_64	External User	<unknown>
exfatprogs	1.4.3-1.fc44	x86_64	Group	updates
extra-cmake-modules	6.29.0-1.fc44	noarch	User	updates
eza	0.23.5-1.fc44	x86_64	User	updates
f44-backgrounds-base	44.0.0-1.fc44	noarch	External User	<unknown>
f44-backgrounds-kde	44.0.0-1.fc44	noarch	External User	<unknown>
fastfetch	2.66.0-1.fc44	x86_64	User	updates
fedora-bookmarks	28-36.fc44	noarch	Group	<unknown>
fedora-flathub-remote	1-12.fc44	noarch	Group	<unknown>
fedora-release-kde-desktop	44-18	noarch	User	updates
fedora-workstation-repositories	38-9.fc44	x86_64	Group	<unknown>
ffmpeg	8.1.2-3.fc44	x86_64	User	rpmfusion-free-updates
ffmpegthumbs	26.08.0-1.fc44	x86_64	Group	updates
file	5.46-10.fc44	x86_64	Group	<unknown>
filelight	1:26.08.0-1.fc44	x86_64	Group	updates
filesystem	3.18-52.fc44	x86_64	User	<unknown>
firefox	154.0-5.fc44	x86_64	Group	updates
firewall-config	2.4.4-1.fc44	noarch	Group	updates
firewalld	2.4.4-1.fc44	noarch	Group	updates
fish	4.6.0-1.fc44	x86_64	User	<unknown>
flatpak-kcm	6.7.4-1.fc44	x86_64	Group	updates
